metodo,pontos,extracao_total_ms,arestas,maior_componente,inliers_arestas,taxa_ponderada,erro_medio_px
SIFT,30049,2107.4602296575904,9,7,2716,0.6621160409556314,1.1314211014656947
ORB,39405,162.1694676578045,8,7,3431,0.7504374453193351,1.303943834016988
