origem,destino,matches,inliers,taxa,erro_medio_px,erro_mediano_px,erro_p90_px,cobertura,aceito
I01,I02,97,29,0.299,1.3670150145550481,1.4087017781412756,2.1321710643950063,0.03911551352081636,True
I01,I03,53,8,0.1509,0.30690190950265905,0.24452343436188326,0.6560266314512354,0.01885471394856771,False
I01,I04,38,5,0.1316,0.5855739876666239,0.4107222030338101,1.0304176763979902,0.016694526643259936,False
I01,I05,381,311,0.8163,1.2759976118168055,1.2038320842466963,2.241488585788692,0.09051464371482774,True
I01,I06,52,4,0.0769,0.27739418421229856,0.23227058036489825,0.47045113455022536,0.0004111569689921453,False
I01,I07,313,239,0.7636,1.3913208540984379,1.3586149111770331,2.2933630967334766,0.07543005590173876,True
I01,I08,66,7,0.1061,0.42624466161369823,0.20230999480531883,1.0165654278902247,0.05711104138556411,False
I02,I03,46,6,0.1304,0.6582893263805767,0.8378783340511802,1.1133665562713655,0.031731409623357465,False
I02,I04,38,6,0.1579,0.14080963125234233,0.12912715608031622,0.2926741434880743,0.026115426591262803,False
I02,I05,52,6,0.1154,0.5666857374351576,0.30505225350577847,1.385343432098829,0.0431000529873796,False
I02,I06,46,7,0.1522,1.1133502717187658,0.8748197985945223,2.299179243792714,0.015932256094614666,False
I02,I07,28,6,0.2143,0.7552894572222447,0.7772813791824525,1.1572767381424818,0.034623258776017365,False
I02,I08,47,4,0.0851,2.0200331793118274,2.0918577449360614,2.5404953297708013,5.951025523032172e-06,False
I03,I04,997,863,0.8656,1.1621175808277842,1.0665244161085985,2.201779861009599,0.15434699988568948,True
I03,I05,64,7,0.1094,0.36649970058457576,0.1248765106277687,0.8626294360929703,0.09882268179655075,False
I03,I06,866,728,0.8406,1.1680507164952998,1.0153227473648714,2.161961775646055,0.10930032372145154,True
I03,I07,62,8,0.129,0.6569370542347317,0.47404419644136475,1.348686998204778,0.021077187728881838,False
I03,I08,78,8,0.1026,0.6867463331081801,0.5316767679486855,1.2224940460423865,0.031275313086023715,False
I04,I05,583,388,0.6655,1.3878409940366527,1.3090064740943932,2.565591130436906,0.11187870185268499,True
I04,I06,176,63,0.358,1.0998116011240178,0.9502216162947325,2.028609700046036,0.019536041453533107,True
I04,I07,232,114,0.4914,1.2483316287284576,1.2022819047383608,2.179342506033242,0.04333657017449538,False
I04,I08,66,3,0.0455,0.03172438222183741,0.007117848902982527,0.06873291963594037,0.0,False
I05,I06,103,11,0.1068,1.1001807092902594,1.0189898726813476,2.051235806682248,0.09564841672465263,False
I05,I07,1159,810,0.6989,1.5355655398341308,1.5324192031250834,2.605746413366024,0.13505118751247064,True
I05,I08,73,8,0.1096,1.2416242297083935,1.2239436365172818,1.8215539273146024,0.06357682597978613,False
I06,I07,78,9,0.1154,0.6928029007007516,0.6853294084686591,1.4952066232273884,0.07347116240005805,False
I06,I08,95,8,0.0842,0.589026570656097,0.318102033418311,1.0501811423570486,0.0,False
I07,I08,80,8,0.1,0.747051232700283,0.8014051619201403,1.2570867709302516,0.0894977391566196,False
